ID Google Scholar,Name,Affiliation,Citations,Profile URL
FUVY4qYAAAAJ,Iwan Sugiarto,Universitas Katolik Parahyangan,294,https://scholar.google.com/citations?hl=en&user=FUVY4qYAAAAJ
j678SXAAAAAJ,Ignatius Bryan Abimanyu,Parahyangan Catholic University,289,https://scholar.google.com/citations?hl=en&user=j678SXAAAAAJ
2sc3LwcAAAAJ,Sylvia Yazid,Universitas Katolik Parahyangan,284,https://scholar.google.com/citations?hl=en&user=2sc3LwcAAAAJ
50zAAlkAAAAJ,Liyanto Eddy,Parahyangan Catholic University,276,https://scholar.google.com/citations?hl=en&user=50zAAlkAAAAJ
6AtDSG8AAAAJ,Syarif Maulana,Universitas Katolik Parahyangan,259,https://scholar.google.com/citations?hl=en&user=6AtDSG8AAAAJ
yQjGrHUAAAAJ,Budi Husodo Bisowarno,Parahyangan Catholic University,252,https://scholar.google.com/citations?hl=en&user=yQjGrHUAAAAJ
aDMAEgMAAAAJ,Lionov Wiratma,"Utrecht University, Parahyangan Catholic University",251,https://scholar.google.com/citations?hl=en&user=aDMAEgMAAAAJ
pyViARQAAAAJ,Wisena Perceka,"Assistant Professor of Civil Engineering, Parahyangan Catholic University",249,https://scholar.google.com/citations?hl=en&user=pyViARQAAAAJ
DHxkIK4AAAAJ,Sophan Ajie,Universitas Katolik Parahyangan,247,https://scholar.google.com/citations?hl=en&user=DHxkIK4AAAAJ
Qu1bR60AAAAJ,Bachtiar Fauzy,"Senior Lecturer of Architecture, Parahyangan Catholic University",242,https://scholar.google.com/citations?hl=en&user=Qu1bR60AAAAJ
fbI1RC0AAAAJ,Urip Santoso,Universitas Katolik Parahyangan,241,https://scholar.google.com/citations?hl=en&user=fbI1RC0AAAAJ
D4dQun4AAAAJ,Yansen Theopilus,"School of Design and Architecture, Swinburne University of Technology",233,https://scholar.google.com/citations?hl=en&user=D4dQun4AAAAJ
9AK--vIAAAAJ,Rahadhian Prajudi Herwindo,Parahyangan Catholic University,230,https://scholar.google.com/citations?hl=en&user=9AK--vIAAAAJ
tu5BrDYAAAAJ,Yusuf Siswantara (ORCID: 0000-0003-4157-779X),UNIVERSITAS KATOLIK PARAHYANGAN,224,https://scholar.google.com/citations?hl=en&user=tu5BrDYAAAAJ
8HVkF5gAAAAJ,Marshell Adi Putra,"Department of International Relations, Parahyangan Catholic University",216,https://scholar.google.com/citations?hl=en&user=8HVkF5gAAAAJ
XOozdHEAAAAJ,Daniel Tan,Parahyangan Catholic University,212,https://scholar.google.com/citations?hl=en&user=XOozdHEAAAAJ
xdtmuQEAAAAJ,Taufik Limansyah,Universitas Katolik Parahyangan,206,https://scholar.google.com/citations?hl=en&user=xdtmuQEAAAAJ
SB539uUAAAAJ,Anastasia Prima Kristijarti,Universitas Katolik Parahyangan,206,https://scholar.google.com/citations?hl=en&user=SB539uUAAAAJ
ajSC5dwAAAAJ,Clara Theresia,School of Design and Architecture Swinburne University of Technology and Parahyangan …,205,https://scholar.google.com/citations?hl=en&user=ajSC5dwAAAAJ
KGM4a3YAAAAJ,Robertus Wahyudi Triweko,"… of Water Resources Engineering and Management, Universitas Katolik Parahyangan",204,https://scholar.google.com/citations?hl=en&user=KGM4a3YAAAAJ
k0KMkh0AAAAJ,Maria Merry Marianti,Universitas Katolik Parahyangan,203,https://scholar.google.com/citations?hl=en&user=k0KMkh0AAAAJ
dm4h8vwAAAAJ,Elisabeth Dewi,"Department of International Relations, Parahyangan Catholic University",200,https://scholar.google.com/citations?hl=en&user=dm4h8vwAAAAJ
66BTORYAAAAJ,Stephanus Djunatan,Universitas Katolik Parahyangan,200,https://scholar.google.com/citations?hl=en&user=66BTORYAAAAJ
GysE_EQAAAAJ,Johannes Adhijoso Tjondro,Dr,197,https://scholar.google.com/citations?hl=en&user=GysE_EQAAAAJ
Nd9opnQAAAAJ,Agustinus Pohan,,197,https://scholar.google.com/citations?hl=en&user=Nd9opnQAAAAJ
QmfzeXgAAAAJ,Hendrikus Endar Suhendar,Universitas Katolik Parahyangan,195,https://scholar.google.com/citations?hl=en&user=QmfzeXgAAAAJ
Wv7qV7gAAAAJ,Hadrianus Tedjoworo,"Department of Theology, Faculty of Philosophy, Parahyangan Catholic University, Bandung …",194,https://scholar.google.com/citations?hl=en&user=Wv7qV7gAAAAJ
S_SlloAAAAAJ,Steven Reinaldo Rusli,Universitas Katolik Parahyangan,192,https://scholar.google.com/citations?hl=en&user=S_SlloAAAAAJ
